uri:ID,jenis,nomor,status,tahun,tentang,title,:LABEL
ARS-0231,PERATURAN MENTERI,2,active,2017,"Sistem Klasifikasi Keamanan dan Hak Akses Arsip Dinamis di Lingkungan Kementerian Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi","Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 2 Tahun 2017",Peraturan
ARS-0232,PERATURAN MENTERI,2,active,2017,Petunjuk Pelaksanaan Pengelolaan Arsip Aset di Lingkungan Kementerian Sosial,Peraturan Menteri Sosial Nomor 2 Tahun 2017,Peraturan
ARS-0233,PERATURAN MENTERI,P.21/MENLHK/SETJEN/KUM.1/3/2017,active,2017,Jadwal Retensi Arsip Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.21/MENLHK/SETJEN/KUM.1/3/2017 Tahun 2017,Peraturan
ARS-0234,PERATURAN MENTERI,3,superseded,2017,"Pedoman Jadwal Retensi Arsip Kementerian Desa, Pembangunan  Daerah Tertinggal, dan Transmigrasi","Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 3 Tahun 2017",Peraturan
ARS-0235,PERATURAN MENTERI,P.24/MENLHK/SETJEN/KUM.1/4/2017,active,2017,Jadwal Retensi Arsip Keuangan  Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.24/MENLHK/SETJEN/KUM.1/4/2017 Tahun 2017,Peraturan
ARS-0236,PERATURAN MENTERI,18/PERMENTAN/TU.110/5/2017,active,2017,Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Pertanian,Peraturan Menteri Pertanian Nomor 18/PERMENTAN/TU.110/5/2017 Tahun 2017,Peraturan
ARS-0237,PERATURAN MENTERI,3,active,2017,"Klasifikasi Arsip di Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan","Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Nomor 3 Tahun 2017",Peraturan
ARS-0238,PERATURAN MENTERI,15,superseded,2017,Tata Kearsipan Kementerian Ketenagakerjaan,Peraturan Menteri Ketenagakerjaan Nomor 15 Tahun 2017,Peraturan
ARS-0239,PERATURAN MENTERI,23,active,2017,Tata Kelola Arsip Vital dan Arsip Terjaga  di Lingkungan Kementerian Hukum dan Hak Asasi Manusia,Peraturan Menteri Hukum dan Hak Asasi Manusia Nomor 23 Tahun 2017,Peraturan
ARS-0240,PERATURAN MENTERI,78,active,2017,"Penyelengaraan Kearsipan di Lingkungan  Kementerian Riset, Teknologi, dan Pendidikan Tinggi","Peraturan Menteri Riset, Teknologi, dan Pendidikan Tinggi Nomor 78 Tahun 2017",Peraturan
ARS-0241,PERATURAN MENTERI,135,active,2017,Perubahan Atas Peraturan Menteri Dalam Negeri Nomor 78 Tahun 2012 tentang Tata Kearsipan di Lingkungan Kementerian Dalam Negeri dan Pemerintah Daerah,Peraturan Menteri Dalam Negeri Nomor 135 Tahun 2017,Peraturan
ARS-0242,PERATURAN MENTERI,99,active,2017,Klasifikasi Arsip Fasilitatif Kementerian Perdagangan,Peraturan Menteri Perdagangan Nomor 99 Tahun 2017,Peraturan
ARS-0243,PERATURAN MENTERI,21,active,2017,Kode Pengelompokan Arsip di Lingkungan Kementerian Pertahanan,Peraturan Menteri Pertahanan Nomor 21 Tahun 2017,Peraturan
ARS-0244,PERATURAN MENTERI,20,active,2017,Jadwal Retensi Arsip Substantif di Lingkungan Kementerian Pertahanan,Peraturan Menteri Pertahanan Nomor 20 Tahun 2017,Peraturan
ARS-0245,PERATURAN MENTERI,26,active,2017,Sistem Akuntabilitas Kinerja Instansi Pemerintah  di Lingkungan Kementerian Pertahanan dan  Tentara Nasional Indonesia,Peraturan Menteri Pertahanan Nomor 26 Tahun 2017,Peraturan
ARS-0246,PERATURAN MENTERI,27,active,2017,"Perlindungan, Pengamanan, dan Penyelamatan Dokumen/Arsip Vital Negara terhadap Bencana di Lingkungan Kementerian Pertahanan",Peraturan Menteri Pertahanan Nomor 27 Tahun 2017,Peraturan
ARS-0247,PERATURAN MENTERI,28,active,2017,Roadmap Kearsipan di Lingkungan Kementerian Pertahanan,Peraturan Menteri Pertahanan Nomor 28 Tahun 2017,Peraturan
ARS-0248,PERATURAN BADAN/LEMBAGA,1,active,2017,Kode Etik Pegawai Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 1 Tahun 2017,Peraturan
ARS-0249,PERATURAN BADAN/LEMBAGA,2,active,2017,Klasifikasi Arsip Di Lingkungan Badan Ekonomi Kreatif,Peraturan Badan Ekonomi Kreatif Nomor 2 Tahun 2017,Peraturan
ARS-0250,PERATURAN BADAN/LEMBAGA,4,active,2017,Pelaksanaan Tugas Jabatan Fungsional Arsiparis,Peraturan Arsip Nasional Nomor 4 Tahun 2017,Peraturan
ARS-0251,PERATURAN BADAN/LEMBAGA,3,active,2017,Perubahan Atas Peraturan Kepala Arsip Nasional Republik Indonesia Nomor 40 Tahun 2015 Tentang Rencana Strategis Arsip Nasional Republik Indonesia Tahun 2015-2019,Peraturan Arsip Nasional Nomor 3 Tahun 2017,Peraturan
ARS-0252,PERATURAN BADAN/LEMBAGA,5,active,2017,Pedoman Penilaian Prestasi Kerja Jabatan Fungsional Arsiparis,Peraturan Arsip Nasional Nomor 5 Tahun 2017,Peraturan
ARS-0253,PERATURAN BADAN/LEMBAGA,6,active,2017,Tata Cara Pengangkatan Pegawai Negeri Sipil Dalam Jabatan Fungsional Arsiparis Melalui Penyesuaian/Inpassing,Peraturan Arsip Nasional Nomor 6 Tahun 2017,Peraturan
ARS-0254,PERATURAN BADAN/LEMBAGA,7,active,2017,Gerakan Nasional Sadar Tertib Arsip,Peraturan Arsip Nasional Nomor 7 Tahun 2017,Peraturan
ARS-0255,PERATURAN BADAN/LEMBAGA,8,active,2017,Perubahan Atas Peraturan Kepala Arsip Nasional Republik Indonesia Nomor  36  Tahun 2016 tentang Petunjuk Pelaksanaan Sosialisasi Kearsipan dan Kelembagaan Melalui Lomba Kreativitas dan Apresiasi Kearsipan,Peraturan Arsip Nasional Nomor 8 Tahun 2017,Peraturan
ARS-0256,PERATURAN BADAN/LEMBAGA,3,active,2017,Pedoman Kearsipan di Lingkungan Komisi Pemberantasan Korupsi,Peraturan Komisi Pemberantasan Korupsi Nomor 3 Tahun 2017,Peraturan
ARS-0257,PERATURAN BADAN/LEMBAGA,9,active,2017,Pedoman Penyusutan Arsip di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 9 Tahun 2017,Peraturan
ARS-0258,PERATURAN BADAN/LEMBAGA,10,active,2017,Perubahan Atas Peraturan Kepala Arsip Republik Indonesia Nomor 22 Tahun 2016 tentang Petunjuk Pelaksanaan Pemilihan Arsiparis Teladan dan Unit Pengolah Terbaik di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 10 Tahun 2017,Peraturan
ARS-0259,PERATURAN BADAN/LEMBAGA,4,active,2017,Jadwal Retensi Arsip Substantif Lembaga Sandi Negara,Peraturan Lembaga Sandi Negara Nomor 4 Tahun 2017,Peraturan
ARS-0260,PERATURAN BADAN/LEMBAGA,11,active,2017,Petunjuk Teknis Pengadaan Tenaga Pramubakti di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 11 Tahun 2017,Peraturan
ARS-0261,PERATURAN BADAN/LEMBAGA,9,active,2017,Jadwal Retensi Arsip Fasilitatif Lembaga Sandi Negara,Peraturan Lembaga Sandi Negara Nomor 9 Tahun 2017,Peraturan
